Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
94,CH 2 15,462.587500,,0.000000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
95,CH 2 16,462.587500,,0.000000,TSQL,114.8,114.8,023,NN,FM,5.00,S,,,,,
96,CH 2 17,462.587500,,0.000000,TSQL,118.8,118.8,023,NN,FM,5.00,S,,,,,
97,CH 2 18,462.587500,,0.000000,TSQL,123.0,123.0,023,NN,FM,5.00,S,,,,,
98,CH 2 19,462.587500,,0.000000,TSQL,127.3,127.3,023,NN,FM,5.00,S,,,,,
99,CH 2 20,462.587500,,0.000000,TSQL,131.8,131.8,023,NN,FM,5.00,S,,,,,
100,CH 2 21,462.587500,,0.000000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,,
101,CH 2 22,462.587500,,0.000000,TSQL,141.3,141.3,023,NN,FM,5.00,S,,,,,
102,CH 2 23,462.587500,,0.000000,TSQL,146.2,146.2,023,NN,FM,5.00,S,,,,,
103,CH 2 24,462.587500,,0.000000,TSQL,151.4,151.4,023,NN,FM,5.00,S,,,,,
104,CH 2 25,462.587500,,0.000000,TSQL,156.7,156.7,023,NN,FM,5.00,S,,,,,
105,CH 2 26,462.587500,,0.000000,TSQL,162.2,162.2,023,NN,FM,5.00,S,,,,,
106,CH 2 27,462.587500,,0.000000,TSQL,167.9,167.9,023,NN,FM,5.00,S,,,,,
107,CH 2 28,462.587500,,0.000000,TSQL,173.8,173.8,023,NN,FM,5.00,S,,,,,
108,CH 2 29,462.587500,,0.000000,TSQL,179.9,179.9,023,NN,FM,5.00,S,,,,,
109,CH 2 30,462.587500,,0.000000,TSQL,186.2,186.2,023,NN,FM,5.00,S,,,,,
110,CH 2 31,462.587500,,0.000000,TSQL,192.8,192.8,023,NN,FM,5.00,S,,,,,
111,CH 2 32,462.587500,,0.000000,TSQL,203.5,203.5,023,NN,FM,5.00,S,,,,,
112,CH 2 33,462.587500,,0.000000,TSQL,210.7,210.7,023,NN,FM,5.00,S,,,,,
113,CH 2 34,462.587500,,0.000000,TSQL,218.1,218.1,023,NN,FM,5.00,S,,,,,
114,CH 2 35,462.587500,,0.000000,TSQL,225.7,225.7,023,NN,FM,5.00,S,,,,,
115,CH 2 36,462.587500,,0.000000,TSQL,233.6,233.6,023,NN,FM,5.00,S,,,,,
116,CH 2 37,462.587500,,0.000000,TSQL,241.8,241.8,023,NN,FM,5.00,S,,,,,
117,CH 2 38,462.587500,,0.000000,TSQL,250.3,250.3,023,NN,FM,5.00,S,,,,,
118,CH 2 38,462.587500,,0.000000,TSQL,254.1,254.1,023,NN,FM,5.00,S,,,,,
119,CH 3 1,462.612500,,0.000000,TSQL,67.0,67.0,023,NN,FM,5.00,,,,,,
120,CH 3 2,462.612500,,0.000000,TSQL,71.9,71.9,023,NN,FM,5.00,S,,,,,
121,CH 3 3,462.612500,,0.000000,TSQL,74.4,74.4,023,NN,FM,5.00,S,,,,,
122,CH 3 4,462.612500,,0.000000,TSQL,77.0,77.0,023,NN,FM,5.00,S,,,,,
123,CH 3 5,462.612500,,0.000000,TSQL,79.7,79.7,023,NN,FM,5.00,S,,,,,
124,CH 3 6,462.612500,,0.000000,TSQL,82.5,82.5,023,NN,FM,5.00,S,,,,,
125,CH 3 7,462.612500,,0.000000,TSQL,85.4,85.4,023,NN,FM,5.00,S,,,,,
126,CH 3 8,462.612500,,0.000000,DTCS,88.5,88.5,023,NN,FM,5.00,S,,,,,
127,CH 3 9,462.612500,,0.000000,TSQL,91.5,91.5,023,NN,FM,5.00,S,,,,,
